stars,comment,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
5,android user wants move ios best iphone without spending unnecessary huge amount pro versionsi would preferred oled displays lcd display iphone bought iphone trust display good phone chipset pro versions theres really much losingyou wont regret purchase want start using ios everything fluid lot dont think moving android future,50,14,0,1,4,53,339,5.6
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,awesome phone specially youre upgrading older iphone absolute value money best camera phone best battery life fastest iphone processor reasonable price iphone standards absolutely reason buy phone,17,9,0,0,0,28,200,6.2
4,battery lifecant complain much pretty decent w charger needs changed big timecameravideo quality best smartphone wide angle night mode needs considered picture quality good think times pictures orangish indian skin tonesjust opinion honestsound quality crisp clear may loudest clarity top notchprocessor bestscreen quality found okay dont keep expectations high great job lcdvalue money iphone definitely value money dont money spare pro models main motive isnt camera dont interest incease apple ecosystem go samsung note plus op pro,71,27,0,2,4,81,541,5.9
5,apple iphone always best class purchased discounted price always worth money however didnt amazon sending bill option download invoice guaranty receipt separately together one bill guaranty receipt one imei incorrect wont valid apple service center tried touch amazon bill correction online option online well called amazon customer care cant connect person automated options doesnt cover concernworst amazon recommend buy apple phones cause warranty apple resale value phone due incorrectseparate bill warranty receip,56,7,0,0,4,75,532,6.1
4,great iphone looking long term usage durability excellent cameras performancethe con price charger provided watt takes long time charge even though battery small comparativelyif budget want buy apple best value money optiondisplay still good many people wont miss oled pros,30,3,0,1,0,41,274,5.8
3,honest feel paid price brand iphone definitely generation behind android find similar specs except camera mid range flag ships oneplus seriesi wont recommend purchase looking value money brand moneythis iphone using oneplus series buying summarize comparison easy waycamera definitely good best selfie mirror effect annoying change setting edit picture flip good experience mebattery life good last day long also takes long fully charged would advise completely drain battery keep charging whenever canoverall experience happy satisfied android lots small features makes life easy iphone offering small features also android offers customize phone way want iphone doesnt also single sim case matters,80,24,0,1,6,105,720,5.9
4,read lot negative reviews regarding buying iphone amazon somehow gathered lot courage went forward got bank offers seems value moneyheating issuesyou read lot reviews heating issues yes heating issue went away updated minor tweaks therebattery lifei heavy user runs days would vary upon usage would last one entire day sureback camerai loved quite disappointed front cameraoperating systemios really makes life easy many small small features apple might market makes life easy experience way better android stock android user seeing flexibility ios might ever switch back,75,9,0,1,3,89,575,5.7
5,read review know many bad comments also intrigued buying amazon bought great india sale great value money anyway bought satisfied dont always made mind negative might complaint always great buy products amazonthis iphone happy experience used week also got heating problem away insane checked product online brand new doubt opening using androids comparing phone super smooth might everything simple ios update battery drains alot also away update easily last day moderate heavy usage ditch onboard charger took really long time charge usb cable comes old charger recommend buy original fast apple display also great people might complain lcd tech guru yo able differentiate oled display pro max series go difficulty tranfer whatsapp data also solve extra software drfonebut buy phone little bit heavy good cover might fall crack spigen cover apps android compromise comes alot useful app icloud storage backing cloud problem unless buy extra space thats reason going using icloud phone speaker sound superb impressed earpods still using mi bluetooth camera sound annoying silent phone lastly great experience using phone happy snub xiaomi oneplus samsung price range takes lot time jumping android ios always personal choice,203,54,0,1,5,223,1307,5.3
4,sceptical purchase shifting android ios line started amaze thingsfew things worth mentioning call recording feature case want one charger box takes hours couldnt find way take backup android iphone whereas super easy switch android android apps clone phone heats going time generally sets everything update software open apps time away regular takes time adjust ios phone okay havent gone till havent used dont even know battery backup super cameras soon blend ios system unlike android devices ui specific limited number phones makes wireless charging fast charging rating must haveif prefer brand value go apple otherwise want value money spend apple product good say andorid leagues ahead many areas havent even touched even pro variants apple also freedom things android customize things way prefer,122,43,0,0,7,148,858,5.5
