stars,comment,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
4,almost months using iphone gb apple known one premium phone manufacturers compromise quality user experience simplicity company claims certain apple products brand appeal indian market appeal allows charge surplus customers products opinions differ justified evaluate phones features costthe build quality design phone absolutely fantastic curves right places tactile buttons screams premium pick phone feet weight came phone samsung galaxy thing notice disparity weight probably due lcd screen former compared oled galaxy series screen iphone liquid retina display fancy term highly polished well optimised lcd screen good screen slightly resolution everyday activities people wont notice noticed screen major downside phone shelling almost customer deserves least full hd screen today budget phones come screen step back apple definitely appreciated also necessary mention prefer oled screen lcd due deep blacks high contrast ratio surprisingly lcd screen iphone better oled screens compared toalbeit comparing resolution xaomi note series vivo oppo samsung screens ridiculously amazing even series phonesanother positive iphone amazing battery life heavy user lots videos streaming music time bluetooth wifi location browsing multiple calls daily video conference meetings push email official personal light browsing social media sites lot photosvideos beast survives whole day thing irks puny watt charger box takes close h charge suggest buy watt charger sold separately apple provided watt charger box price pointanother frustrating part apple ecosystem icloud storage essentially required want back phonephotos etc costs per month apple pulls ecosystem services must say excellent apple ecosystem stress free seamless phrase works really works macbook pro iphone works really well laptop allowing answer calls messages right laptopthe one feature wasnt sure grew start pandemic face recognition safe secure absolutely amazing works authentication requirements phone beautiful understand appeal face recognition soli chip google btw pandemic accompanying masks created hurdle face recognition today wonder fingerprint would better fancy face recognitionone favourite cameras apple made name reputation cameras wont say much topic well known google pixel compete photos department iphone definitely video kingsanother key area apple made name security encryption privacy policy one major reasons premium price tagsi give phone enthusiastic stars wish improve screen price point least include respectable charger box talked os believe ios android personal choice reviewing key features iphone hardware,282,92,0,9,33,382,2635,6.2
5,proscamera quality life issue face heating issueproduct genuineess checked apple site originalcons charging speed slow charger provided atleast wattaneroid user face little bit difficulty ios interface,9,12,0,1,2,31,209,6.6
5,last months waiting best possible phone every aspect got know iphone one best selling apple products watched lots videos youtube related unboxing reviews especially looking cons rather pros got know display oled good compared iphone pro got know build display better pro model except everything came decision buying iphone purchased prime day sale discounts last weeks using iphone primary phone say best decision life ios buttery smooth touch response rate gives refresh rate feeling lag whatsoever ram management superb sound quality topline loud stereo speakers though say speakers loud seen asus rog reviewer youtube review units next battery life good android phone easily last day half moderate usage including gaming display might vibrant saturated oled panels super bright blacks much richer see lcd panelsafterall apple pay finally camera makes feel great photos might look good phone transfer pc see clarity camera video quality superb overall must buy planning invest phone last upcoming hope review helps ppl still deciding whether buy iphone,143,31,0,7,3,178,1085,5.5
5,years iphone finally decided take upgrade iphone must say totally value money using continuously since morning hours usage battery come onlyif youre looking high end value money smartphone itthere bugs however theyre ios bugs whichll sorted soon im sure upcoming updates,30,11,0,3,2,47,276,5.6
5,iphone design good camera quality awesome also take pictures wide angles image quality awesomephone got delivered september preorder september morning got phone delivery date nice secured packagingthe overall look phone premium face unlocking fast grabbed phone hdfc instant discount offer gb phone great box accessories earpods lighting connector might feel little pain phone comes charger charge phone slowly recommend prefer using chargerwell ive never tried iphone im using time yes im already using apple products macbook air probut product great im lovin,56,33,0,0,10,97,591,5.8
5,second apple device havent sold kidney got avid android fanboy using daily driver past years switch using move ios entire transition using drive photos etc seamless may miss thing two stock android would offer couple colleagues argued good latest phones two things never good photography intermittent lag yes phone gigs ram lagsnow deviceprosthe devices build quality amazing detail given every tiny little thing noted even sim tray made metalspeakers sound better previous phonea couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybeos theres mobile os speedy updated time basis supports device long years yeah root phone rock new lineage os droid circumstances rooting magisk cannot help banking apps workcamera camera phones good night mode amazing low light pictures turn good note huawei phones longer google services yes sideload play store thats still pain arse next pixel isnt going cheap eitherconsremember iphone always treated asset phone ask someone dropped phone hard surface pain takes repaired replacedcouple pointed device bit thick yes honestly slim phones cannot juice within sacrifice either themno means cant charge listen music ie move wireless headphonesoverall amazing phone thats worth every penny phone id using next years sure one legend electronic goods always depreciating unlike gold land fits needs checking messages making calls need,152,61,0,4,10,223,1429,5.7
5,phone bit big hold good android usersas per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,19,4,0,0,0,29,181,5.3
5,bought iphone red absolutely love design insanely goodlot reviews say received damaged phone simply truethe truth phone comes outdated ios must update else camera wont running normally video quality wont case software update bugs gets fixedalso lot seem say phone gets overheated thought mine getting overheated therea difference warm overheating truth gets warm intense processing software update took care dont know howso dont worry buying iphone lot freaking phones arent functioning properly quick write bad review truth software update fixes peoples complaints,74,20,0,1,5,85,568,5.9
5,awesome phone great camera quali,0,1,0,0,0,5,34,6.0
3,iphone good phone every thing fine budget phones better main problem battery long dont play games phone using social media camera go ya another problem refresh rate dont know refresh rate screen smoothness hz refresh rate phones budget hz hz build quality good one times fall hand gone even small distance small visual small cracks,54,6,0,4,0,61,343,5.0
